Dimension,sem_vs_perc,Category
HD,SEM,animals that live in water
HD,SEM,birds
HD,SEM,clothes
HD,SEM,dangerous animals
HD,SEM,farm animals
HD,SEM,fruit
HD,SEM,home appliances
HD,SEM,insects
HD,SEM,musical instruments
HD,SEM,non food things found in the kitchen
HD,SEM,objects found in the laundry room
HD,SEM,objects that hold water
HD,SEM,objects used for transportation
HD,SEM,things that fly
HD,SEM,tools
HD,SEM,vegetables
LD,PERC,animals with stripes
LD,PERC,long thin objects
LD,SEM,small objects
LD,PERC,things made of wood
LD,PERC,things that are blue
LD,PERC,things that are brown
LD,PERC,things that are green
LD,PERC,things that are orange
LD,PERC,things that are red
LD,PERC,things that are round
LD,SEM,things that are soft
LD,SEM,things that are very large
LD,PERC,things that are white
LD,PERC,things that are yellow
LD,SEM,things with doors
LD,SEM,things with handles