ROI,Subject,Effect, LocalizerSize,EffectSize
1,249_FED_20160519a_3T1_PL2017,SEM, 37,0.540737
1,249_FED_20160519a_3T1_PL2017,PERC, 37,0.100974
1,249_FED_20160519a_3T1_PL2017,Instruct, 37,2.561256
1,376_FED_20160519b_3T1_PL2017,SEM, 37,0.287166
1,376_FED_20160519b_3T1_PL2017,PERC, 37,0.081809
1,376_FED_20160519b_3T1_PL2017,Instruct, 37,0.561883
1,343_FED_20160519c_3T1_PL2017,SEM, 37,1.599924
1,343_FED_20160519c_3T1_PL2017,PERC, 37,1.972636
1,343_FED_20160519c_3T1_PL2017,Instruct, 37,3.313024
1,399_FED_20160519d_3T1_PL2017,SEM, 37,1.010648
1,399_FED_20160519d_3T1_PL2017,PERC, 37,1.128890
1,399_FED_20160519d_3T1_PL2017,Instruct, 37,1.930719
1,400_FED_20160520a_3T1_PL2017,SEM, 37,-0.277858
1,400_FED_20160520a_3T1_PL2017,PERC, 37,-0.334980
1,400_FED_20160520a_3T1_PL2017,Instruct, 37,0.498714
1,366_FED_20160520b_3T1_PL2017,SEM, 37,0.153278
1,366_FED_20160520b_3T1_PL2017,PERC, 37,-0.115069
1,366_FED_20160520b_3T1_PL2017,Instruct, 37,1.527942
1,289_FED_20160520c_3T1_PL2017,SEM, 37,0.854023
1,289_FED_20160520c_3T1_PL2017,PERC, 37,-0.314799
1,289_FED_20160520c_3T1_PL2017,Instruct, 37,-0.151110
1,401_FED_20160520d_3T1_PL2017,SEM, 37,-0.525259
1,401_FED_20160520d_3T1_PL2017,PERC, 37,-0.222082
1,401_FED_20160520d_3T1_PL2017,Instruct, 37,0.289153
1,409_FED_20160622a_3T1_PL2017,SEM, 37,0.488273
1,409_FED_20160622a_3T1_PL2017,PERC, 37,0.378151
1,409_FED_20160622a_3T1_PL2017,Instruct, 37,1.832777
1,410_FED_20160623b_3T2_PL2017,SEM, 37,0.127449
1,410_FED_20160623b_3T2_PL2017,PERC, 37,0.048540
1,410_FED_20160623b_3T2_PL2017,Instruct, 37,2.210233
1,405_FED_20160707b_3T1_PL2017,SEM, 37,0.269652
1,405_FED_20160707b_3T1_PL2017,PERC, 37,0.099414
1,405_FED_20160707b_3T1_PL2017,Instruct, 37,1.186373
1,408_FED_20160711a2_3T1_PL2017,SEM, 37,0.701750
1,408_FED_20160711a2_3T1_PL2017,PERC, 37,0.659157
1,408_FED_20160711a2_3T1_PL2017,Instruct, 37,0.223837
1,290_FED_20160906c_3T2_PL2017,SEM, 37,0.293226
1,290_FED_20160906c_3T2_PL2017,PERC, 37,0.076992
1,290_FED_20160906c_3T2_PL2017,Instruct, 37,1.048033
1,252_FED_20160907b_3T2_PL2017,SEM, 37,1.681815
1,252_FED_20160907b_3T2_PL2017,PERC, 37,2.546175
1,252_FED_20160907b_3T2_PL2017,Instruct, 37,3.349513
2,249_FED_20160519a_3T1_PL2017,SEM, 74,0.400038
2,249_FED_20160519a_3T1_PL2017,PERC, 74,-0.051597
2,249_FED_20160519a_3T1_PL2017,Instruct, 74,3.657084
2,376_FED_20160519b_3T1_PL2017,SEM, 74,1.612912
2,376_FED_20160519b_3T1_PL2017,PERC, 74,1.067666
2,376_FED_20160519b_3T1_PL2017,Instruct, 74,2.523002
2,343_FED_20160519c_3T1_PL2017,SEM, 74,1.098480
2,343_FED_20160519c_3T1_PL2017,PERC, 74,1.846087
2,343_FED_20160519c_3T1_PL2017,Instruct, 74,3.402534
2,399_FED_20160519d_3T1_PL2017,SEM, 74,1.527091
2,399_FED_20160519d_3T1_PL2017,PERC, 74,1.653640
2,399_FED_20160519d_3T1_PL2017,Instruct, 74,2.795879
2,400_FED_20160520a_3T1_PL2017,SEM, 74,2.078974
2,400_FED_20160520a_3T1_PL2017,PERC, 74,1.604031
2,400_FED_20160520a_3T1_PL2017,Instruct, 74,4.224532
2,366_FED_20160520b_3T1_PL2017,SEM, 74,0.852951
2,366_FED_20160520b_3T1_PL2017,PERC, 74,0.369103
2,366_FED_20160520b_3T1_PL2017,Instruct, 74,1.488676
2,289_FED_20160520c_3T1_PL2017,SEM, 74,0.462695
2,289_FED_20160520c_3T1_PL2017,PERC, 74,0.067523
2,289_FED_20160520c_3T1_PL2017,Instruct, 74,0.644976
2,401_FED_20160520d_3T1_PL2017,SEM, 74,-0.481991
2,401_FED_20160520d_3T1_PL2017,PERC, 74,-0.332649
2,401_FED_20160520d_3T1_PL2017,Instruct, 74,1.607506
2,409_FED_20160622a_3T1_PL2017,SEM, 74,-0.105577
2,409_FED_20160622a_3T1_PL2017,PERC, 74,0.095396
2,409_FED_20160622a_3T1_PL2017,Instruct, 74,1.184798
2,410_FED_20160623b_3T2_PL2017,SEM, 74,0.852949
2,410_FED_20160623b_3T2_PL2017,PERC, 74,0.702952
2,410_FED_20160623b_3T2_PL2017,Instruct, 74,3.810433
2,405_FED_20160707b_3T1_PL2017,SEM, 74,1.526190
2,405_FED_20160707b_3T1_PL2017,PERC, 74,1.170480
2,405_FED_20160707b_3T1_PL2017,Instruct, 74,3.043003
2,408_FED_20160711a2_3T1_PL2017,SEM, 74,1.300500
2,408_FED_20160711a2_3T1_PL2017,PERC, 74,1.003053
2,408_FED_20160711a2_3T1_PL2017,Instruct, 74,1.578381
2,290_FED_20160906c_3T2_PL2017,SEM, 74,1.103124
2,290_FED_20160906c_3T2_PL2017,PERC, 74,0.777328
2,290_FED_20160906c_3T2_PL2017,Instruct, 74,2.405718
2,252_FED_20160907b_3T2_PL2017,SEM, 74,1.690965
2,252_FED_20160907b_3T2_PL2017,PERC, 74,2.440267
2,252_FED_20160907b_3T2_PL2017,Instruct, 74,2.685836
3,249_FED_20160519a_3T1_PL2017,SEM, 46,0.653393
3,249_FED_20160519a_3T1_PL2017,PERC, 46,0.354729
3,249_FED_20160519a_3T1_PL2017,Instruct, 46,4.010797
3,376_FED_20160519b_3T1_PL2017,SEM, 46,0.969957
3,376_FED_20160519b_3T1_PL2017,PERC, 46,0.662988
3,376_FED_20160519b_3T1_PL2017,Instruct, 46,1.553143
3,343_FED_20160519c_3T1_PL2017,SEM, 46,2.210663
3,343_FED_20160519c_3T1_PL2017,PERC, 46,3.006272
3,343_FED_20160519c_3T1_PL2017,Instruct, 46,5.989850
3,399_FED_20160519d_3T1_PL2017,SEM, 46,0.475521
3,399_FED_20160519d_3T1_PL2017,PERC, 46,1.134038
3,399_FED_20160519d_3T1_PL2017,Instruct, 46,1.549160
3,400_FED_20160520a_3T1_PL2017,SEM, 46,0.905146
3,400_FED_20160520a_3T1_PL2017,PERC, 46,0.742247
3,400_FED_20160520a_3T1_PL2017,Instruct, 46,2.656028
3,366_FED_20160520b_3T1_PL2017,SEM, 46,0.591396
3,366_FED_20160520b_3T1_PL2017,PERC, 46,0.295871
3,366_FED_20160520b_3T1_PL2017,Instruct, 46,2.864466
3,289_FED_20160520c_3T1_PL2017,SEM, 46,0.000026
3,289_FED_20160520c_3T1_PL2017,PERC, 46,0.066887
3,289_FED_20160520c_3T1_PL2017,Instruct, 46,-0.236166
3,401_FED_20160520d_3T1_PL2017,SEM, 46,-0.829052
3,401_FED_20160520d_3T1_PL2017,PERC, 46,-0.428413
3,401_FED_20160520d_3T1_PL2017,Instruct, 46,0.747884
3,409_FED_20160622a_3T1_PL2017,SEM, 46,-1.089154
3,409_FED_20160622a_3T1_PL2017,PERC, 46,-0.374517
3,409_FED_20160622a_3T1_PL2017,Instruct, 46,0.864622
3,410_FED_20160623b_3T2_PL2017,SEM, 46,0.627851
3,410_FED_20160623b_3T2_PL2017,PERC, 46,0.334861
3,410_FED_20160623b_3T2_PL2017,Instruct, 46,2.539625
3,405_FED_20160707b_3T1_PL2017,SEM, 46,1.184074
3,405_FED_20160707b_3T1_PL2017,PERC, 46,1.209647
3,405_FED_20160707b_3T1_PL2017,Instruct, 46,1.736122
3,408_FED_20160711a2_3T1_PL2017,SEM, 46,0.870878
3,408_FED_20160711a2_3T1_PL2017,PERC, 46,0.649462
3,408_FED_20160711a2_3T1_PL2017,Instruct, 46,2.986608
3,290_FED_20160906c_3T2_PL2017,SEM, 46,1.105615
3,290_FED_20160906c_3T2_PL2017,PERC, 46,1.254070
3,290_FED_20160906c_3T2_PL2017,Instruct, 46,2.823062
3,252_FED_20160907b_3T2_PL2017,SEM, 46,0.582693
3,252_FED_20160907b_3T2_PL2017,PERC, 46,0.786150
3,252_FED_20160907b_3T2_PL2017,Instruct, 46,1.445004
4,249_FED_20160519a_3T1_PL2017,SEM, 162,-0.320332
4,249_FED_20160519a_3T1_PL2017,PERC, 162,-0.312063
4,249_FED_20160519a_3T1_PL2017,Instruct, 162,1.423284
4,376_FED_20160519b_3T1_PL2017,SEM, 162,-0.125214
4,376_FED_20160519b_3T1_PL2017,PERC, 162,-0.405139
4,376_FED_20160519b_3T1_PL2017,Instruct, 162,1.184848
4,343_FED_20160519c_3T1_PL2017,SEM, 162,0.517664
4,343_FED_20160519c_3T1_PL2017,PERC, 162,0.468604
4,343_FED_20160519c_3T1_PL2017,Instruct, 162,1.618605
4,399_FED_20160519d_3T1_PL2017,SEM, 162,0.298970
4,399_FED_20160519d_3T1_PL2017,PERC, 162,0.318330
4,399_FED_20160519d_3T1_PL2017,Instruct, 162,1.166972
4,400_FED_20160520a_3T1_PL2017,SEM, 162,-0.337160
4,400_FED_20160520a_3T1_PL2017,PERC, 162,-0.402084
4,400_FED_20160520a_3T1_PL2017,Instruct, 162,1.070532
4,366_FED_20160520b_3T1_PL2017,SEM, 162,-0.218554
4,366_FED_20160520b_3T1_PL2017,PERC, 162,-0.340530
4,366_FED_20160520b_3T1_PL2017,Instruct, 162,0.597186
4,289_FED_20160520c_3T1_PL2017,SEM, 162,0.342170
4,289_FED_20160520c_3T1_PL2017,PERC, 162,0.065167
4,289_FED_20160520c_3T1_PL2017,Instruct, 162,0.033422
4,401_FED_20160520d_3T1_PL2017,SEM, 162,-0.534068
4,401_FED_20160520d_3T1_PL2017,PERC, 162,-0.278208
4,401_FED_20160520d_3T1_PL2017,Instruct, 162,0.489759
4,409_FED_20160622a_3T1_PL2017,SEM, 162,-0.680972
4,409_FED_20160622a_3T1_PL2017,PERC, 162,-0.814587
4,409_FED_20160622a_3T1_PL2017,Instruct, 162,0.843825
4,410_FED_20160623b_3T2_PL2017,SEM, 162,-0.202781
4,410_FED_20160623b_3T2_PL2017,PERC, 162,-0.255581
4,410_FED_20160623b_3T2_PL2017,Instruct, 162,1.322460
4,405_FED_20160707b_3T1_PL2017,SEM, 162,0.454275
4,405_FED_20160707b_3T1_PL2017,PERC, 162,-0.075077
4,405_FED_20160707b_3T1_PL2017,Instruct, 162,2.161582
4,408_FED_20160711a2_3T1_PL2017,SEM, 162,0.444119
4,408_FED_20160711a2_3T1_PL2017,PERC, 162,0.102455
4,408_FED_20160711a2_3T1_PL2017,Instruct, 162,1.967986
4,290_FED_20160906c_3T2_PL2017,SEM, 162,-0.158955
4,290_FED_20160906c_3T2_PL2017,PERC, 162,-0.247450
4,290_FED_20160906c_3T2_PL2017,Instruct, 162,0.156961
4,252_FED_20160907b_3T2_PL2017,SEM, 162,0.748692
4,252_FED_20160907b_3T2_PL2017,PERC, 162,0.874755
4,252_FED_20160907b_3T2_PL2017,Instruct, 162,1.440661
5,249_FED_20160519a_3T1_PL2017,SEM, 294,0.279027
5,249_FED_20160519a_3T1_PL2017,PERC, 294,0.256998
5,249_FED_20160519a_3T1_PL2017,Instruct, 294,5.691067
5,376_FED_20160519b_3T1_PL2017,SEM, 294,0.340217
5,376_FED_20160519b_3T1_PL2017,PERC, 294,-0.031075
5,376_FED_20160519b_3T1_PL2017,Instruct, 294,1.586804
5,343_FED_20160519c_3T1_PL2017,SEM, 294,1.111374
5,343_FED_20160519c_3T1_PL2017,PERC, 294,1.816810
5,343_FED_20160519c_3T1_PL2017,Instruct, 294,3.630374
5,399_FED_20160519d_3T1_PL2017,SEM, 294,-0.407434
5,399_FED_20160519d_3T1_PL2017,PERC, 294,0.136964
5,399_FED_20160519d_3T1_PL2017,Instruct, 294,1.091052
5,400_FED_20160520a_3T1_PL2017,SEM, 294,0.008179
5,400_FED_20160520a_3T1_PL2017,PERC, 294,-0.004513
5,400_FED_20160520a_3T1_PL2017,Instruct, 294,2.851496
5,366_FED_20160520b_3T1_PL2017,SEM, 294,0.151743
5,366_FED_20160520b_3T1_PL2017,PERC, 294,-0.170562
5,366_FED_20160520b_3T1_PL2017,Instruct, 294,1.817761
5,289_FED_20160520c_3T1_PL2017,SEM, 294,0.252455
5,289_FED_20160520c_3T1_PL2017,PERC, 294,0.108078
5,289_FED_20160520c_3T1_PL2017,Instruct, 294,1.004500
5,401_FED_20160520d_3T1_PL2017,SEM, 294,-0.545517
5,401_FED_20160520d_3T1_PL2017,PERC, 294,-0.068838
5,401_FED_20160520d_3T1_PL2017,Instruct, 294,0.902074
5,409_FED_20160622a_3T1_PL2017,SEM, 294,-0.196503
5,409_FED_20160622a_3T1_PL2017,PERC, 294,-0.245457
5,409_FED_20160622a_3T1_PL2017,Instruct, 294,1.857023
5,410_FED_20160623b_3T2_PL2017,SEM, 294,0.180244
5,410_FED_20160623b_3T2_PL2017,PERC, 294,0.185292
5,410_FED_20160623b_3T2_PL2017,Instruct, 294,2.715279
5,405_FED_20160707b_3T1_PL2017,SEM, 294,1.307191
5,405_FED_20160707b_3T1_PL2017,PERC, 294,1.297820
5,405_FED_20160707b_3T1_PL2017,Instruct, 294,4.244641
5,408_FED_20160711a2_3T1_PL2017,SEM, 294,0.370531
5,408_FED_20160711a2_3T1_PL2017,PERC, 294,0.024208
5,408_FED_20160711a2_3T1_PL2017,Instruct, 294,1.752889
5,290_FED_20160906c_3T2_PL2017,SEM, 294,0.236531
5,290_FED_20160906c_3T2_PL2017,PERC, 294,0.172613
5,290_FED_20160906c_3T2_PL2017,Instruct, 294,1.618040
5,252_FED_20160907b_3T2_PL2017,SEM, 294,0.837561
5,252_FED_20160907b_3T2_PL2017,PERC, 294,1.279026
5,252_FED_20160907b_3T2_PL2017,Instruct, 294,2.558787
6,249_FED_20160519a_3T1_PL2017,SEM, 64,1.536365
6,249_FED_20160519a_3T1_PL2017,PERC, 64,0.259431
6,249_FED_20160519a_3T1_PL2017,Instruct, 64,3.568234
6,376_FED_20160519b_3T1_PL2017,SEM, 64,-0.376675
6,376_FED_20160519b_3T1_PL2017,PERC, 64,-0.890240
6,376_FED_20160519b_3T1_PL2017,Instruct, 64,-0.806581
6,343_FED_20160519c_3T1_PL2017,SEM, 64,1.068897
6,343_FED_20160519c_3T1_PL2017,PERC, 64,1.361116
6,343_FED_20160519c_3T1_PL2017,Instruct, 64,2.417761
6,399_FED_20160519d_3T1_PL2017,SEM, 64,-0.148122
6,399_FED_20160519d_3T1_PL2017,PERC, 64,-0.260096
6,399_FED_20160519d_3T1_PL2017,Instruct, 64,-0.978021
6,400_FED_20160520a_3T1_PL2017,SEM, 64,-0.401647
6,400_FED_20160520a_3T1_PL2017,PERC, 64,-0.899232
6,400_FED_20160520a_3T1_PL2017,Instruct, 64,0.343149
6,366_FED_20160520b_3T1_PL2017,SEM, 64,0.328459
6,366_FED_20160520b_3T1_PL2017,PERC, 64,-0.052295
6,366_FED_20160520b_3T1_PL2017,Instruct, 64,0.866269
6,289_FED_20160520c_3T1_PL2017,SEM, 64,0.040220
6,289_FED_20160520c_3T1_PL2017,PERC, 64,-0.584781
6,289_FED_20160520c_3T1_PL2017,Instruct, 64,-1.572619
6,401_FED_20160520d_3T1_PL2017,SEM, 64,-0.995990
6,401_FED_20160520d_3T1_PL2017,PERC, 64,-0.918886
6,401_FED_20160520d_3T1_PL2017,Instruct, 64,-0.621524
6,409_FED_20160622a_3T1_PL2017,SEM, 64,0.767172
6,409_FED_20160622a_3T1_PL2017,PERC, 64,-0.685049
6,409_FED_20160622a_3T1_PL2017,Instruct, 64,1.245814
6,410_FED_20160623b_3T2_PL2017,SEM, 64,0.481394
6,410_FED_20160623b_3T2_PL2017,PERC, 64,0.388505
6,410_FED_20160623b_3T2_PL2017,Instruct, 64,2.314267
6,405_FED_20160707b_3T1_PL2017,SEM, 64,0.674088
6,405_FED_20160707b_3T1_PL2017,PERC, 64,0.262020
6,405_FED_20160707b_3T1_PL2017,Instruct, 64,2.722407
6,408_FED_20160711a2_3T1_PL2017,SEM, 64,0.812671
6,408_FED_20160711a2_3T1_PL2017,PERC, 64,0.218931
6,408_FED_20160711a2_3T1_PL2017,Instruct, 64,0.528359
6,290_FED_20160906c_3T2_PL2017,SEM, 64,1.308343
6,290_FED_20160906c_3T2_PL2017,PERC, 64,0.723724
6,290_FED_20160906c_3T2_PL2017,Instruct, 64,1.135725
6,252_FED_20160907b_3T2_PL2017,SEM, 64,0.972377
6,252_FED_20160907b_3T2_PL2017,PERC, 64,1.025144
6,252_FED_20160907b_3T2_PL2017,Instruct, 64,1.456198
7,249_FED_20160519a_3T1_PL2017,SEM, 37,0.682470
